Ref,Val,Package,PosX,PosY,Rot,Side
"Q20","2N7000","TO-92_Inline_Wide",9.000000,-28.700000,0.000000,top
"Q21","2N7000","TO-92_Inline_Wide",9.000000,-33.780000,0.000000,top
"Q22","2N7000","TO-92_Inline_Wide",9.000000,-42.035000,0.000000,top
"Q23","2N7000","TO-92_Inline_Wide",9.000000,-47.115000,0.000000,top
"Q24","2N7000","TO-92_Inline_Wide",9.000000,-55.370000,0.000000,top
"Q25","2N7000","TO-92_Inline_Wide",9.000000,-60.450000,0.000000,top
"Q26","2N7000","TO-92_Inline_Wide",9.000000,-68.705000,0.000000,top
"Q27","2N7000","TO-92_Inline_Wide",9.000000,-73.785000,0.000000,top
"Q28","2N7000","TO-92_Inline_Wide",9.000000,-78.865000,0.000000,top
"Q29","2N7000","TO-92_Inline_Wide",9.000000,-87.120000,0.000000,top
"Q30","2N7000","TO-92_Inline_Wide",9.000000,-95.375000,0.000000,top
"Q31","2N7000","TO-92_Inline_Wide",9.000000,-103.630000,0.000000,top
"Q32","2N7000","TO-92_Inline_Wide",9.000000,-108.710000,0.000000,top
"Q33","2N7000","TO-92_Inline_Wide",9.000000,-116.965000,0.000000,top
"Q34","2N7000","TO-92_Inline_Wide",9.000000,-122.045000,0.000000,top
"Q35","2N7000","TO-92_Inline_Wide",9.000000,-130.300000,0.000000,top
"Q36","2N7000","TO-92_Inline_Wide",9.000000,-135.380000,0.000000,top
"Q37","2N7000","TO-92_Inline_Wide",9.000000,-143.635000,0.000000,top
"Q38","2N7000","TO-92_Inline_Wide",9.000000,-148.715000,0.000000,top
"Q39","2N7000","TO-92_Inline_Wide",9.000000,-153.795000,0.000000,top
"Q40","2N7000","TO-92_Inline_Wide",9.000000,-162.050000,0.000000,top
"Q41","2N7000","TO-92_Inline_Wide",9.000000,-170.305000,0.000000,top
"Q42","2N7000","TO-92_Inline_Wide",9.000000,-175.385000,0.000000,top
"Q43","2N7000","TO-92_Inline_Wide",9.000000,-183.640000,0.000000,top
"Q44","2N7000","TO-92_Inline_Wide",9.000000,-188.720000,0.000000,top
"Q45","2N7000","TO-92_Inline_Wide",9.000000,-196.975000,0.000000,top
"Q46","2N7000","TO-92_Inline_Wide",9.000000,-202.055000,0.000000,top
"Q47","2N7000","TO-92_Inline_Wide",9.000000,-210.310000,0.000000,top
"Q48","2N7000","TO-92_Inline_Wide",9.000000,-215.390000,0.000000,top
"Q49","2N7000","TO-92_Inline_Wide",9.000000,-220.470000,0.000000,top
"Q50","2N7000","TO-92_Inline_Wide",9.000000,-228.725000,0.000000,top
"Q51","2N7000","TO-92_Inline_Wide",9.000000,-233.805000,0.000000,top
"Q52","2N7000","TO-92_Inline_Wide",9.000000,-242.060000,0.000000,top
"Q53","2N7000","TO-92_Inline_Wide",21.760000,-19.810000,180.000000,top
"Q54","2N7000","TO-92_Inline_Wide",21.760000,-28.065000,180.000000,top
"Q55","2N7000","TO-92_Inline_Wide",21.760000,-33.145000,180.000000,top
"Q56","2N7000","TO-92_Inline_Wide",21.760000,-41.400000,180.000000,top
"Q57","2N7000","TO-92_Inline_Wide",21.760000,-46.480000,180.000000,top
"Q58","2N7000","TO-92_Inline_Wide",21.760000,-54.735000,180.000000,top
"Q59","2N7000","TO-92_Inline_Wide",21.760000,-59.815000,180.000000,top
"Q60","2N7000","TO-92_Inline_Wide",21.760000,-68.070000,180.000000,top
"Q61","2N7000","TO-92_Inline_Wide",21.760000,-73.150000,180.000000,top
"Q62","2N7000","TO-92_Inline_Wide",21.760000,-78.230000,180.000000,top
"Q63","2N7000","TO-92_Inline_Wide",21.760000,-86.485000,180.000000,top
"Q64","2N7000","TO-92_Inline_Wide",21.760000,-94.740000,180.000000,top
"Q65","2N7000","TO-92_Inline_Wide",21.760000,-99.820000,180.000000,top
"Q66","2N7000","TO-92_Inline_Wide",21.760000,-108.075000,180.000000,top
"Q67","2N7000","TO-92_Inline_Wide",21.760000,-113.155000,180.000000,top
"Q68","2N7000","TO-92_Inline_Wide",21.760000,-121.410000,180.000000,top
"Q69","2N7000","TO-92_Inline_Wide",21.760000,-126.490000,180.000000,top
"Q70","2N7000","TO-92_Inline_Wide",21.760000,-134.745000,180.000000,top
"Q71","2N7000","TO-92_Inline_Wide",21.760000,-139.825000,180.000000,top
"Q72","2N7000","TO-92_Inline_Wide",21.760000,-144.905000,180.000000,top
"Q73","2N7000","TO-92_Inline_Wide",21.760000,-153.160000,180.000000,top
"Q74","2N7000","TO-92_Inline_Wide",21.760000,-158.240000,180.000000,top
"Q75","2N7000","TO-92_Inline_Wide",21.760000,-166.495000,180.000000,top
"Q76","2N7000","TO-92_Inline_Wide",21.760000,-174.750000,180.000000,top
"Q77","2N7000","TO-92_Inline_Wide",21.760000,-179.830000,180.000000,top
"Q78","2N7000","TO-92_Inline_Wide",21.760000,-188.085000,180.000000,top
"Q79","2N7000","TO-92_Inline_Wide",21.760000,-196.340000,180.000000,top
"Q80","2N7000","TO-92_Inline_Wide",21.760000,-201.420000,180.000000,top
"Q81","2N7000","TO-92_Inline_Wide",21.760000,-209.675000,180.000000,top
"Q82","2N7000","TO-92_Inline_Wide",21.760000,-214.755000,180.000000,top
"Q83","2N7000","TO-92_Inline_Wide",21.760000,-223.010000,180.000000,top
"Q84","2N7000","TO-92_Inline_Wide",21.760000,-228.090000,180.000000,top
"Q85","2N7000","TO-92_Inline_Wide",24.360000,-20.445000,0.000000,top
"Q86","2N7000","TO-92_Inline_Wide",24.360000,-25.525000,0.000000,top
"Q87","2N7000","TO-92_Inline_Wide",24.360000,-30.605000,0.000000,top
"Q88","2N7000","TO-92_Inline_Wide",24.360000,-38.860000,0.000000,top
"Q89","2N7000","TO-92_Inline_Wide",24.360000,-47.115000,0.000000,top
"Q90","2N7000","TO-92_Inline_Wide",24.360000,-52.195000,0.000000,top
"Q91","2N7000","TO-92_Inline_Wide",24.360000,-60.450000,0.000000,top
"Q92","2N7000","TO-92_Inline_Wide",24.360000,-65.530000,0.000000,top
"Q93","2N7000","TO-92_Inline_Wide",24.360000,-73.785000,0.000000,top
"Q94","2N7000","TO-92_Inline_Wide",24.360000,-78.865000,0.000000,top
"Q95","2N7000","TO-92_Inline_Wide",24.360000,-87.120000,0.000000,top
"Q96","2N7000","TO-92_Inline_Wide",24.360000,-92.200000,0.000000,top
"Q97","2N7000","TO-92_Inline_Wide",24.360000,-97.280000,0.000000,top
"Q98","2N7000","TO-92_Inline_Wide",24.360000,-105.535000,0.000000,top
"Q99","2N7000","TO-92_Inline_Wide",24.360000,-113.790000,0.000000,top
"Q100","2N7000","TO-92_Inline_Wide",24.360000,-118.870000,0.000000,top
"Q101","2N7000","TO-92_Inline_Wide",24.360000,-127.125000,0.000000,top
"Q102","2N7000","TO-92_Inline_Wide",24.360000,-135.380000,0.000000,top
"Q103","2N7000","TO-92_Inline_Wide",24.360000,-143.635000,0.000000,top
"Q104","2N7000","TO-92_Inline_Wide",24.360000,-148.715000,0.000000,top
"Q105","2N7000","TO-92_Inline_Wide",24.360000,-156.970000,0.000000,top
"Q106","2N7000","TO-92_Inline_Wide",24.360000,-162.050000,0.000000,top
"Q107","2N7000","TO-92_Inline_Wide",24.360000,-170.305000,0.000000,top
"Q108","2N7000","TO-92_Inline_Wide",24.360000,-175.385000,0.000000,top
"Q109","2N7000","TO-92_Inline_Wide",24.360000,-183.640000,0.000000,top
"Q110","2N7000","TO-92_Inline_Wide",24.360000,-188.720000,0.000000,top
"Q111","2N7000","TO-92_Inline_Wide",24.360000,-193.800000,0.000000,top
"Q112","2N7000","TO-92_Inline_Wide",24.360000,-202.055000,0.000000,top
"Q113","2N7000","TO-92_Inline_Wide",24.360000,-210.310000,0.000000,top
"Q114","2N7000","TO-92_Inline_Wide",24.360000,-215.390000,0.000000,top
"Q115","2N7000","TO-92_Inline_Wide",24.360000,-223.645000,0.000000,top
"Q116","2N7000","TO-92_Inline_Wide",24.360000,-228.725000,0.000000,top
"Q117","2N7000","TO-92_Inline_Wide",24.360000,-236.980000,0.000000,top
"Q118","2N7000","TO-92_Inline_Wide",24.360000,-242.060000,0.000000,top
"Q119","2N7000","TO-92_Inline_Wide",37.120000,-19.810000,180.000000,top
"Q120","2N7000","TO-92_Inline_Wide",37.120000,-24.890000,180.000000,top
"Q121","2N7000","TO-92_Inline_Wide",37.120000,-29.970000,180.000000,top
"Q122","2N7000","TO-92_Inline_Wide",37.120000,-38.225000,180.000000,top
"Q123","2N7000","TO-92_Inline_Wide",37.120000,-46.480000,180.000000,top
"Q124","2N7000","TO-92_Inline_Wide",37.120000,-54.735000,180.000000,top
"Q125","2N7000","TO-92_Inline_Wide",37.120000,-62.990000,180.000000,top
"Q126","2N7000","TO-92_Inline_Wide",37.120000,-68.070000,180.000000,top
"Q127","2N7000","TO-92_Inline_Wide",37.120000,-76.325000,180.000000,top
"Q128","2N7000","TO-92_Inline_Wide",37.120000,-84.580000,180.000000,top
"Q129","2N7000","TO-92_Inline_Wide",37.120000,-89.660000,180.000000,top
"Q130","2N7000","TO-92_Inline_Wide",37.120000,-97.915000,180.000000,top
"Q131","2N7000","TO-92_Inline_Wide",37.120000,-106.170000,180.000000,top
"Q132","2N7000","TO-92_Inline_Wide",37.120000,-111.250000,180.000000,top
"Q133","2N7000","TO-92_Inline_Wide",37.120000,-119.505000,180.000000,top
"Q134","2N7000","TO-92_Inline_Wide",37.120000,-127.760000,180.000000,top
"Q135","2N7000","TO-92_Inline_Wide",37.120000,-132.840000,180.000000,top
"Q136","2N7000","TO-92_Inline_Wide",37.120000,-141.095000,180.000000,top
"Q137","2N7000","TO-92_Inline_Wide",37.120000,-149.350000,180.000000,top
"Q138","2N7000","TO-92_Inline_Wide",37.120000,-157.605000,180.000000,top
"Q139","2N7000","TO-92_Inline_Wide",37.120000,-162.685000,180.000000,top
"Q140","2N7000","TO-92_Inline_Wide",37.120000,-170.940000,180.000000,top
"Q141","2N7000","TO-92_Inline_Wide",37.120000,-176.020000,180.000000,top
"Q142","2N7000","TO-92_Inline_Wide",37.120000,-184.275000,180.000000,top
"Q143","2N7000","TO-92_Inline_Wide",37.120000,-189.355000,180.000000,top
"Q144","2N7000","TO-92_Inline_Wide",37.120000,-197.610000,180.000000,top
"Q145","2N7000","TO-92_Inline_Wide",37.120000,-202.690000,180.000000,top
"Q146","2N7000","TO-92_Inline_Wide",37.120000,-207.770000,180.000000,top
"Q147","2N7000","TO-92_Inline_Wide",37.120000,-216.025000,180.000000,top
"Q148","2N7000","TO-92_Inline_Wide",37.120000,-224.280000,180.000000,top
"Q149","2N7000","TO-92_Inline_Wide",37.120000,-229.360000,180.000000,top
"Q150","2N7000","TO-92_Inline_Wide",37.120000,-237.615000,180.000000,top
"Q151","2N7000","TO-92_Inline_Wide",37.120000,-242.695000,180.000000,top
"Q152","2N7000","TO-92_Inline_Wide",39.720000,-20.445000,0.000000,top
"Q153","2N7000","TO-92_Inline_Wide",39.720000,-25.525000,0.000000,top
"Q154","2N7000","TO-92_Inline_Wide",39.720000,-33.780000,0.000000,top
"Q155","2N7000","TO-92_Inline_Wide",39.720000,-38.860000,0.000000,top
"Q156","2N7000","TO-92_Inline_Wide",39.720000,-43.940000,0.000000,top
"Q157","2N7000","TO-92_Inline_Wide",39.720000,-52.195000,0.000000,top
"Q158","2N7000","TO-92_Inline_Wide",39.720000,-60.450000,0.000000,top
"Q159","2N7000","TO-92_Inline_Wide",39.720000,-65.530000,0.000000,top
"Q160","2N7000","TO-92_Inline_Wide",39.720000,-73.785000,0.000000,top
"Q161","2N7000","TO-92_Inline_Wide",39.720000,-78.865000,0.000000,top
"Q162","2N7000","TO-92_Inline_Wide",39.720000,-87.120000,0.000000,top
"Q163","2N7000","TO-92_Inline_Wide",39.720000,-92.200000,0.000000,top
"Q164","2N7000","TO-92_Inline_Wide",39.720000,-100.455000,0.000000,top
"Q165","2N7000","TO-92_Inline_Wide",39.720000,-105.535000,0.000000,top
"Q166","2N7000","TO-92_Inline_Wide",39.720000,-110.615000,0.000000,top
"Q167","2N7000","TO-92_Inline_Wide",39.720000,-118.870000,0.000000,top
"Q168","2N7000","TO-92_Inline_Wide",39.720000,-127.125000,0.000000,top
"Q169","2N7000","TO-92_Inline_Wide",39.720000,-132.205000,0.000000,top
"Q170","2N7000","TO-92_Inline_Wide",39.720000,-140.460000,0.000000,top
"Q171","2N7000","TO-92_Inline_Wide",39.720000,-145.540000,0.000000,top
"Q172","2N7000","TO-92_Inline_Wide",39.720000,-153.795000,0.000000,top
"Q173","2N7000","TO-92_Inline_Wide",39.720000,-158.875000,0.000000,top
"Q174","2N7000","TO-92_Inline_Wide",39.720000,-167.130000,0.000000,top
"Q175","2N7000","TO-92_Inline_Wide",39.720000,-172.210000,0.000000,top
"Q176","2N7000","TO-92_Inline_Wide",39.720000,-177.290000,0.000000,top
"Q177","2N7000","TO-92_Inline_Wide",39.720000,-185.545000,0.000000,top
"Q178","2N7000","TO-92_Inline_Wide",39.720000,-193.800000,0.000000,top
"Q179","2N7000","TO-92_Inline_Wide",39.720000,-198.880000,0.000000,top
"Q180","2N7000","TO-92_Inline_Wide",39.720000,-207.135000,0.000000,top
"Q181","2N7000","TO-92_Inline_Wide",39.720000,-212.215000,0.000000,top
"Q182","2N7000","TO-92_Inline_Wide",39.720000,-220.470000,0.000000,top
"Q183","2N7000","TO-92_Inline_Wide",39.720000,-225.550000,0.000000,top
"Q184","2N7000","TO-92_Inline_Wide",39.720000,-233.805000,0.000000,top
"Q185","2N7000","TO-92_Inline_Wide",39.720000,-238.885000,0.000000,top
"Q186","2N7000","TO-92_Inline_Wide",39.720000,-243.965000,0.000000,top
"Q187","2N7000","TO-92_Inline_Wide",52.480000,-19.810000,180.000000,top
"Q188","2N7000","TO-92_Inline_Wide",52.480000,-28.065000,180.000000,top
"Q189","2N7000","TO-92_Inline_Wide",52.480000,-33.145000,180.000000,top
"Q190","2N7000","TO-92_Inline_Wide",52.480000,-41.400000,180.000000,top
"Q191","2N7000","TO-92_Inline_Wide",52.480000,-46.480000,180.000000,top
"Q192","2N7000","TO-92_Inline_Wide",52.480000,-54.735000,180.000000,top
